year	sex	occupation	people	score	sei
2000	1	Accountant / Auditor	866460	38	72
2000	1	Actor	29975	29	60
2000	1	Advertising Agent	114250	35	66
2000	1	Architect	171025	54	90
2000	1	Artist / Art Teacher	147525	31	67
2000	1	Author	89748	30	76
2000	1	Baker	109810	28	22
2000	1	Bank Teller	53683	26	52
2000	1	Barber / Beautician	180813	19	14
2000	1	Bartender	185678	25	19
2000	1	Bill Collector	73893	26	39
2000	1	Blaster	11083	26	11
2000	1	Boilermaker	24467	34	39
2000	1	Bookbinder	29675	25	33
2000	1	Bookkeeper	220113	22	51
2000	1	Building Manager	244612	20	32
2000	1	Bus Driver	317367	30	24
2000	1	Buyer - Farm	12935	26	33
2000	1	Buyer - Store	825260	42	72
2000	1	Cabinet Maker	94810	26	23
2000	1	Carpenter	1712796	24	19
2000	1	Cashier	976286	18	44
2000	1	Cement / Concrete Finisher	116125	27	19
2000	1	Charwoman	198452	14	7
2000	1	Chemist	79842	40	79
2000	1	Chiropractor	46698	32	70
2000	1	Clergyman	379579	24	52
2000	1	Clerical Worker	3739906	25	46
2000	1	Cook	2100285	14	13
2000	1	Counter Worker	95273	13	17
2000	1	Cranemen / Hoistmen	97514	31	21
2000	1	Dancer / Dance Teacher	4794	16	45
2000	1	Delivery Man	50821	27	27
2000	1	Demonstrator	18049	12	35
2000	1	Dentist	141323	63	96
2000	1	Designer	373242	38	73
2000	1	Dispatcher	138567	31	40
2000	1	Doctor Office Attendant	112481	16	47
2000	1	Draftsman	216855	34	67
2000	1	Dressmaker / Seamstress	35316	12	23
2000	1	Economist	71392	39	73
2000	1	Editor / Reporter	239429	39	77
2000	1	Electrician	868613	34	36
2000	1	Engineer	396626	49	52
2000	1	Engineer - Aeuronautical	117501	48	87
2000	1	Engineer - Chemical	62749	49	90
2000	1	Engineer - Civil	275116	46	84
2000	1	Engineer - Electrical	377014	46	86
2000	1	Engineer - Industrial	570889	45	76
2000	1	Engineer - Mechanical	297908	46	85
2000	1	Engineer - Metallurgical	36887	46	82
2000	1	Engineer - Mining	23729	48	85
2000	1	Engraver	11601	33	47
2000	1	Entertainer	84890	20	48
2000	1	Farm Foreman	57670	23	68
2000	1	Farm Laborer	856153	9	11
2000	1	Farm Manager	208086	24	36
2000	1	Farmer	634832	14	14
2000	1	Fireman	373490	29	24
2000	1	Fisherman	68818	16	10
2000	1	Foremen	1999279	38	30
2000	1	Forgemen	16752	32	23
2000	1	Forrester	46628	29	43
2000	1	Funeral Director	44421	31	59
2000	1	Gardener / Groundskeeper	1267931	17	11
2000	1	Glazier	57335	28	26
2000	1	Hospital Attendant	329525	16	27
2000	1	Household Worker	31353	18	26
2000	1	Human Resources	565758	43	76
2000	1	Inspector	161302	36	53
2000	1	Insulation Worker	77376	32	25
2000	1	Insurance Agent	512838	36	55
2000	1	Janitor	2004939	19	9
2000	1	Jeweler	120157	27	32
2000	1	Laborer	4746546	20	19
2000	1	Laundry / Dry Cleaning	157827	15	15
2000	1	Lawyer / Judge	699931	62	93
2000	1	Librarian	38871	22	60
2000	1	Library Attendant	52874	13	53
2000	1	Locomotive Engineer	57211	46	58
2000	1	Lumberman	132973	12	4
2000	1	Machinist	546426	32	33
2000	1	Mail Carrier	269004	34	53
2000	1	Manager / Owner	11270779	42	52
2000	1	Mason	264638	29	27
2000	1	Meat Cutter	269489	29	29
2000	1	Mechanic	2232570	30	27
2000	1	Mechanic - Airplane	202371	34	48
2000	1	Mechanic - Automobile	1829579	27	19
2000	1	Mechanic - Office Machines	276652	28	36
2000	1	Mechanic - Radio / Television	91074	25	38
2000	1	Messenger	193642	15	28
2000	1	Metal Filer	110367	30	22
2000	1	Metal Worker	297786	33	34
2000	1	Military	1017572	30	47
2000	1	Millwright	90310	34	31
2000	1	Miner	200747	24	14
2000	1	Model Maker	16049	34	44
2000	1	Motion Picture Projectionist	10296	34	43
2000	1	Musician / Music Teacher	413003	20	63
2000	1	Newsboy	123854	3	8
2000	1	Nurse	403441	19	44
2000	1	Nutritionist	9461	20	39
2000	1	Office Machine Operator	334259	23	45
2000	1	Oiler / Greaser	30515	28	15
2000	1	Operative	5837694	23	27
2000	1	Optician / Lens Grinder	20024	30	48
2000	1	Optometrist	24325	42	79
2000	1	Painter	882211	25	17
2000	1	Paperhanger	15223	15	10
2000	1	Parking Attendant	290103	19	23
2000	1	Pharmacist	123677	40	82
2000	1	Photo Developer	43477	23	42
2000	1	Photographer	116115	27	34
2000	1	Physician / Surgeon	576125	80	92
2000	1	Pilot	136359	52	79
2000	1	Plasterer	54434	29	25
2000	1	Plumber	636668	33	34
2000	1	Policeman / Detective	817139	32	29
2000	1	Porter	56206	18	4
2000	1	Postmaster	20279	29	60
2000	1	Power Station Operator	43979	36	50
2000	1	Pressman	280610	38	35
2000	1	Professional - Misc	2833825	33	65
2000	1	Professor	707315	41	84
2000	1	Psychologist	66504	39	81
2000	1	Public Officials	129379	36	66
2000	1	Purchasing Agent	141566	42	77
2000	1	Radio Operator	121044	30	69
2000	1	Railroad Brakeman	11668	36	42
2000	1	Railroad Conductor	54613	43	58
2000	1	Real Estate Agent	437118	35	62
2000	1	Recreation Attendant	343733	9	15
2000	1	Religious Worker	63275	15	56
2000	1	Road Machinery Operator	512160	31	28
2000	1	Roller	14228	30	22
2000	1	Roofer	291409	23	15
2000	1	Sailor	31389	23	16
2000	1	Salesman	4087696	24	47
2000	1	Sawyer	70658	17	5
2000	1	Scientist	116374	41	80
2000	1	Scientist - Agriculture	24723	41	80
2000	1	Scientist - Biology	98754	41	80
2000	1	Scientist - Geology	70402	41	80
2000	1	Scientist - Physics	29426	41	80
2000	1	Scientist - Social	21044	39	81
2000	1	Secretary	191588	23	53
2000	1	Security Guard	1212189	26	26
2000	1	Service Attendant	211791	13	32
2000	1	Service Worker	627109	11	11
2000	1	Serviceman	536422	32	43
2000	1	Sheriff / Bailiff	8228	30	11
2000	1	Ship Officers	43594	42	54
2000	1	Shipping and Receiving	584615	26	45
2000	1	Shoemaker	282385	20	22
2000	1	Social Worker	404846	24	66
2000	1	Sports Instructor / Official	173041	32	52
2000	1	Stationary Engineer	213589	28	29
2000	1	Statistician / Actuary	33042	39	81
2000	1	Stock Broker	467290	40	69
2000	1	Surveyor	118867	28	48
2000	1	Taxi Cab Driver / Chauffeur	294801	22	14
2000	1	Teacher	1402235	27	72
2000	1	Technician	431203	33	53
2000	1	Technician - Medical / Dental	460297	25	57
2000	1	Technician - Testing	242234	30	36
2000	1	Telephone Operator	32532	21	45
2000	1	Temperer	14405	30	22
2000	1	Therapist	127400	26	53
2000	1	Ticket Agent	104583	35	54
2000	1	Tool Maker	138638	37	50
2000	1	Truck / Tractor Driver	3681627	25	15
2000	1	Typesetter	51064	36	18
2000	1	Upholsterer	57883	26	22
2000	1	Usher	58147	4	25
2000	1	Veterinarian	39184	42	78
2000	1	Waiter / Waitress	595509	11	16
2000	1	Weaver	17800	23	6
2000	1	Welder	727405	31	24
2000	2	Accountant / Auditor	1217596	38	72
2000	2	Actor	25931	29	60
2000	2	Advertising Agent	132581	35	66
2000	2	Architect	45789	54	90
2000	2	Artist / Art Teacher	144382	31	67
2000	2	Author	107058	30	76
2000	2	Baker	117400	28	22
2000	2	Bank Teller	474467	26	52
2000	2	Barber / Beautician	912194	19	14
2000	2	Bartender	232073	25	19
2000	2	Bill Collector	189733	26	39
2000	2	Blaster	1187	26	11
2000	2	Boilermaker	810	34	39
2000	2	Bookbinder	34600	25	33
2000	2	Bookkeeper	1920224	22	51
2000	2	Building Manager	272713	20	32
2000	2	Bus Driver	303925	30	24
2000	2	Buyer - Farm	3870	26	33
2000	2	Buyer - Store	735183	42	72
2000	2	Cabinet Maker	7648	26	23
2000	2	Carpenter	35826	24	19
2000	2	Cashier	3347118	18	44
2000	2	Cement / Concrete Finisher	1620	27	19
2000	2	Charwoman	1538658	14	7
2000	2	Chemist	39726	40	79
2000	2	Chiropractor	19954	32	70
2000	2	Clergyman	69192	24	52
2000	2	Clerical Worker	9244984	25	46
2000	2	Cook	2289731	16	13
2000	2	Counter Worker	208388	13	17
